OSD.flyTime [s],CUSTOM.updateTime,OSD.latitude,OSD.longitude,OSD.altitude [m],OSD.speed [m/s],OSD.vSpeed [m/s],OSD.heading,BATTERY.chargeLevel [%],BATTERY.temperature [°C],OSD.flycState
0,2024-01-15T10:00:00Z,51.5074,-0.1278,0.0,2.0,0.833,90,100.0,27.9,TakeOff
1,2024-01-15T10:00:01Z,51.5074167,-0.1277833,0.83,2.05,0.833,90,100.0,27.9,TakeOff
2,2024-01-15T10:00:02Z,51.5074333,-0.1277667,1.67,2.1,0.833,90,100.0,28.0,TakeOff
3,2024-01-15T10:00:03Z,51.50745,-0.12775,2.5,2.15,0.833,90,100.0,28.4,TakeOff
4,2024-01-15T10:00:04Z,51.5074667,-0.1277334,3.33,2.2,0.833,90,100.0,28.0,TakeOff
5,2024-01-15T10:00:05Z,51.5074833,-0.1277168,4.17,2.25,0.833,90,100.0,27.3,TakeOff
6,2024-01-15T10:00:06Z,51.5075,-0.1277002,5.0,2.3,0.833,90,100.0,28.2,TakeOff
7,2024-01-15T10:00:07Z,51.5075167,-0.1276836,5.83,2.35,0.833,90,100.0,28.0,TakeOff
8,2024-01-15T10:00:08Z,51.5075333,-0.1276671,6.67,2.4,0.833,90,100.0,28.0,TakeOff
9,2024-01-15T10:00:09Z,51.50755,-0.1276506,7.5,2.45,0.833,90,100.0,28.2,TakeOff
10,2024-01-15T10:00:10Z,51.5075667,-0.1276341,8.33,2.5,0.833,90,100.0,28.3,TakeOff
11,2024-01-15T10:00:11Z,51.5075833,-0.1276177,9.17,2.55,0.833,90,100.0,28.7,TakeOff
12,2024-01-15T10:00:12Z,51.5076,-0.1276013,10.0,2.6,0.833,90,100.0,28.5,TakeOff
13,2024-01-15T10:00:13Z,51.5076167,-0.127585,10.83,2.65,0.833,90,100.0,28.2,TakeOff
14,2024-01-15T10:00:14Z,51.5076333,-0.1275688,11.67,2.7,0.833,90,100.0,27.8,TakeOff
15,2024-01-15T10:00:15Z,51.50765,-0.1275526,12.5,2.75,0.833,90,100.0,27.7,TakeOff
16,2024-01-15T10:00:16Z,51.5076667,-0.1275365,13.33,2.8,0.833,90,100.0,28.3,TakeOff
17,2024-01-15T10:00:17Z,51.5076833,-0.1275204,14.17,2.85,0.833,90,100.0,28.9,TakeOff
18,2024-01-15T10:00:18Z,51.5077,-0.1275045,15.0,2.9,0.833,90,100.0,28.3,TakeOff
19,2024-01-15T10:00:19Z,51.5077167,-0.1274886,15.83,2.95,0.833,90,100.0,28.2,TakeOff
20,2024-01-15T10:00:20Z,51.5077333,-0.1274728,16.67,3.0,0.833,90,100.0,28.5,TakeOff
21,2024-01-15T10:00:21Z,51.50775,-0.1274571,17.5,3.05,0.833,90,100.0,27.6,TakeOff
22,2024-01-15T10:00:22Z,51.5077667,-0.1274415,18.33,3.1,0.833,90,100.0,28.2,TakeOff
23,2024-01-15T10:00:23Z,51.5077833,-0.127426,19.17,3.15,0.833,90,100.0,28.6,TakeOff
24,2024-01-15T10:00:24Z,51.5078,-0.1274106,20.0,3.2,0.833,90,100.0,28.8,TakeOff
25,2024-01-15T10:00:25Z,51.5078167,-0.1273953,20.83,3.25,0.833,90,100.0,28.2,TakeOff
26,2024-01-15T10:00:26Z,51.5078333,-0.1273801,21.67,3.3,0.833,90,100.0,28.6,TakeOff
27,2024-01-15T10:00:27Z,51.50785,-0.127365,22.5,3.35,0.833,90,100.0,28.5,TakeOff
28,2024-01-15T10:00:28Z,51.5078667,-0.1273501,23.33,3.4,0.833,90,100.0,28.8,TakeOff
29,2024-01-15T10:00:29Z,51.5078833,-0.1273353,24.17,3.45,0.833,90,100.0,27.8,TakeOff
30,2024-01-15T10:00:30Z,51.5079,-0.1273206,25.0,3.5,0.833,90,100.0,28.7,TakeOff
31,2024-01-15T10:00:31Z,51.5079167,-0.127306,25.83,3.55,0.833,90,100.0,27.7,TakeOff
32,2024-01-15T10:00:32Z,51.5079333,-0.1272916,26.67,3.6,0.833,90,100.0,27.1,TakeOff
33,2024-01-15T10:00:33Z,51.50795,-0.1272773,27.5,3.65,0.833,90,100.0,28.2,TakeOff
34,2024-01-15T10:00:34Z,51.5079667,-0.1272632,28.33,3.7,0.833,90,100.0,28.0,TakeOff
35,2024-01-15T10:00:35Z,51.5079833,-0.1272492,29.17,3.75,0.833,90,100.0,28.9,TakeOff
36,2024-01-15T10:00:36Z,51.508,-0.1272354,30.0,3.8,0.833,90,100.0,28.8,TakeOff
37,2024-01-15T10:00:37Z,51.5080167,-0.1272217,30.83,3.85,0.833,90,100.0,27.9,TakeOff
38,2024-01-15T10:00:38Z,51.5080333,-0.1272082,31.67,3.9,0.833,90,100.0,29.0,TakeOff
39,2024-01-15T10:00:39Z,51.50805,-0.1271948,32.5,3.95,0.833,90,100.0,28.0,TakeOff
40,2024-01-15T10:00:40Z,51.5080667,-0.1271816,33.33,4.0,0.833,90,100.0,28.5,TakeOff
41,2024-01-15T10:00:41Z,51.5080833,-0.1271686,34.17,4.05,0.833,90,100.0,28.4,TakeOff
42,2024-01-15T10:00:42Z,51.5081,-0.1271558,35.0,4.1,0.833,90,100.0,28.6,TakeOff
43,2024-01-15T10:00:43Z,51.5081167,-0.1271431,35.83,4.15,0.833,90,100.0,29.0,TakeOff
44,2024-01-15T10:00:44Z,51.5081333,-0.1271307,36.67,4.2,0.833,90,100.0,28.9,TakeOff
45,2024-01-15T10:00:45Z,51.50815,-0.1271184,37.5,4.25,0.833,90,100.0,28.8,TakeOff
46,2024-01-15T10:00:46Z,51.5081667,-0.1271063,38.33,4.3,0.833,90,100.0,29.0,TakeOff
47,2024-01-15T10:00:47Z,51.5081833,-0.1270944,39.17,4.35,0.833,90,100.0,28.9,TakeOff
48,2024-01-15T10:00:48Z,51.5082,-0.1270826,40.0,4.4,0.833,90,100.0,28.4,TakeOff
49,2024-01-15T10:00:49Z,51.5082167,-0.1270711,40.83,4.45,0.833,90,100.0,28.3,TakeOff
50,2024-01-15T10:00:50Z,51.5082333,-0.1270598,41.67,4.5,0.833,90,100.0,28.5,TakeOff
51,2024-01-15T10:00:51Z,51.50825,-0.1270487,42.5,4.55,0.833,90,100.0,29.0,TakeOff
52,2024-01-15T10:00:52Z,51.5082667,-0.1270378,43.33,4.6,0.833,90,100.0,28.6,TakeOff
53,2024-01-15T10:00:53Z,51.5082833,-0.1270271,44.17,4.65,0.833,90,100.0,29.9,TakeOff
54,2024-01-15T10:00:54Z,51.5083,-0.1270167,45.0,4.7,0.833,90,100.0,28.3,TakeOff
55,2024-01-15T10:00:55Z,51.5083167,-0.1270064,45.83,4.75,0.833,90,100.0,28.2,TakeOff
56,2024-01-15T10:00:56Z,51.5083333,-0.1269964,46.67,4.8,0.833,90,100.0,29.2,TakeOff
57,2024-01-15T10:00:57Z,51.50835,-0.1269866,47.5,4.85,0.833,90,100.0,29.5,TakeOff
58,2024-01-15T10:00:58Z,51.5083667,-0.126977,48.33,4.9,0.833,90,100.0,29.1,TakeOff
59,2024-01-15T10:00:59Z,51.5083833,-0.1269677,49.17,4.95,0.833,90,100.0,29.2,TakeOff
60,2024-01-15T10:01:00Z,51.5084,-0.1269585,51.14,4.97,-0.142,90,100.0,28.6,AutoFlight
61,2024-01-15T10:01:01Z,51.5084167,-0.1269496,50.76,4.57,0.003,90,100.0,29.0,AutoFlight
62,2024-01-15T10:01:02Z,51.5084333,-0.126941,49.75,5.22,0.058,90,100.0,30.0,AutoFlight
63,2024-01-15T10:01:03Z,51.50845,-0.1269326,50.5,4.82,-0.056,90,100.0,28.5,AutoFlight
64,2024-01-15T10:01:04Z,51.5084667,-0.1269244,50.76,4.83,-0.007,90,100.0,29.3,AutoFlight
65,2024-01-15T10:01:05Z,51.5084833,-0.1269165,49.42,4.91,-0.184,90,100.0,28.4,AutoFlight
66,2024-01-15T10:01:06Z,51.5085,-0.1269088,49.55,5.12,0.119,90,100.0,28.9,AutoFlight
67,2024-01-15T10:01:07Z,51.5085167,-0.1269014,50.21,5.05,0.108,90,100.0,29.4,AutoFlight
68,2024-01-15T10:01:08Z,51.5085333,-0.1268942,50.22,4.7,0.09,90,100.0,29.1,AutoFlight
69,2024-01-15T10:01:09Z,51.50855,-0.1268872,50.98,4.99,0.195,90,100.0,28.8,AutoFlight
70,2024-01-15T10:01:10Z,51.5085667,-0.1268806,51.27,5.03,-0.052,90,100.0,28.4,AutoFlight
71,2024-01-15T10:01:11Z,51.5085833,-0.1268741,49.88,5.43,0.082,90,100.0,29.3,AutoFlight
72,2024-01-15T10:01:12Z,51.5086,-0.126868,48.1,5.21,0.056,90,100.0,28.7,AutoFlight
73,2024-01-15T10:01:13Z,51.5086167,-0.1268621,49.5,5.0,0.172,90,100.0,28.5,AutoFlight
74,2024-01-15T10:01:14Z,51.5086333,-0.1268564,49.66,5.41,-0.045,90,100.0,28.8,AutoFlight
75,2024-01-15T10:01:15Z,51.50865,-0.126851,50.08,4.63,0.022,90,100.0,28.4,AutoFlight
76,2024-01-15T10:01:16Z,51.5086667,-0.1268459,50.71,5.0,0.228,90,100.0,29.2,AutoFlight
77,2024-01-15T10:01:17Z,51.5086833,-0.126841,51.09,4.61,-0.012,90,100.0,29.2,AutoFlight
78,2024-01-15T10:01:18Z,51.5087,-0.1268364,51.4,4.5,0.099,90,100.0,29.4,AutoFlight
79,2024-01-15T10:01:19Z,51.5087167,-0.1268321,51.23,5.21,0.005,90,100.0,28.8,AutoFlight
80,2024-01-15T10:01:20Z,51.5087333,-0.1268281,49.0,5.06,-0.019,90,100.0,30.1,AutoFlight
81,2024-01-15T10:01:21Z,51.50875,-0.1268243,49.51,5.1,-0.157,90,100.0,28.9,AutoFlight
82,2024-01-15T10:01:22Z,51.5087667,-0.1268208,50.21,5.25,0.145,90,100.0,29.1,AutoFlight
83,2024-01-15T10:01:23Z,51.5087833,-0.1268175,49.11,5.14,0.052,90,100.0,29.4,AutoFlight
84,2024-01-15T10:01:24Z,51.5088,-0.1268146,49.44,5.34,0.009,90,100.0,29.5,AutoFlight
85,2024-01-15T10:01:25Z,51.5088167,-0.1268119,51.02,5.18,0.029,90,100.0,30.3,AutoFlight
